//发型文件
//道具id,发型名称,性别,发型id,价格[金币]
#itemid,name,sex,hairid,price
735127,金色激情,1,111,980000
735131,落日英雄,1,115,980000
735132,风流倜傥,1,116,980000
735135,冷霜傲雪,1,119,980000
735137,个性张扬,1,121,980000
735138,绯丽火焰,1,122,980000
735139,银色追忆,1,123,980000
735143,冰蓝传说,1,127,980000
735144,赤色风影,1,128,980000
735145,踌躇满志,1,129,980000
735146,异域风采,1,130,980000
735147,神采飞扬,1,131,980000
735150,春风得意,1,134,980000
735128,意气风发,1,112,680000
735129,俊朗不凡,1,113,680000
735130,风度翩翩,1,114,680000
735133,玉树临风,1,117,680000
735134,逆风飞扬,1,118,680000
735136,沉稳镇定,1,120,680000
735140,流火青春,1,124,680000
735141,俊秀文雅,1,125,680000
735142,千幻海风,1,126,680000
735148,寂静月光,1,132,680000
735149,慷慨豪侠,1,133,680000
730040,骑士精神,1,101,680000
730041,憧影萧萧,1,102,680000
730042,庞克风暴,1,103,680000
730043,忧郁深蓝,1,104,680000
730044,橙色礼赞,1,105,680000
730045,岁月情殇,1,106,680000
730046,优雅爵士,1,107,680000
730047,出尘不凡,1,108,680000
730048,奔放人生,1,109,680000
730049,沧桑漫漫,1,110,680000
730108,御风使者,1,173,980000
730109,寂静之影,1,174,980000
730110,寒月之歌,1,175,980000
730111,暗魂史诗,1,176,980000
730112,霜火冰焰,1,177,980000
//女发型

735103,清丽年华,2,115,980000
735105,温柔恬静,2,117,980000
735107,幻紫缤纷,2,119,980000
735108,绮丽端庄,2,120,980000
735109,清新秀美,2,121,980000
735110,黄金花雨,2,122,980000
735111,紫魅兰花,2,123,980000
735112,秀雅芙蓉,2,124,980000
735113,落英飞花,2,125,980000
735114,轻柔飘逸,2,126,980000
735115,娇媚花蕾,2,127,980000
735117,火热舞蹈,2,129,980000
735118,梦幻蝴蝶,2,130,980000
735121,月华长发,2,133,980000
735126,金瀑流泉,2,138,680000
735100,风动魅影,2,112,680000
735101,皇家典雅,2,113,680000
735102,绚丽风舞,2,114,680000
735104,姿采风情,2,116,680000
735106,清纯温馨,2,118,680000
735116,轻灵梦幻,2,128,680000
735119,俏丽百合,2,131,680000
735120,黎明晨曦,2,132,680000
735122,浪漫情怀,2,134,680000
735123,优雅高鬓,2,135,680000
735124,妩媚短发,2,136,680000
735125,风情万种,2,137,680000
730050,金色诱惑,2,101,680000
730051,夏日激情,2,102,680000
730052,古典优雅,2,103,680000
730053,花样年华,2,104,680000
730054,流金岁月,2,105,680000
730055,姹紫梦幻,2,106,680000
730056,雍容华贵,2,107,680000
730057,妩媚俏皮,2,108,680000
730058,活力青春,2,109,680000
730059,俏皮可爱,2,110,680000
730060,贤淑端庄,2,111,680000
730113,新月蔷薇,2,173,980000
730114,琥珀叹息,2,174,980000
730115,曙光华章,2,175,980000
730116,冰雪咏叹,2,176,980000
730117,幽暮绮梦,2,177,980000


