//ÃûÈËÌÃµñÏñ×ø±êÅäÖÃ
//Ãû´Î,x×ø±ê,y×ø±ê
#index,x,y
1,101,185
2,91,194
3,113,194
4,91,203
5,113,203
6,91,214
7,113,214
8,91,224
9,113,224
10,91,234
11,113,234
12,116,300
13,116,291
14,116,277
15,116,269
16,130,300
17,130,291
18,130,277
19,130,269
20,142,300
21,142,291
22,142,277
23,142,269
24,154,300
25,154,291
26,154,277
27,154,269
28,166,300
29,166,291
30,166,277
31,198,306
32,198,297
33,198,286
34,198,277
35,210,306
36,210,297
37,210,286
38,210,277
39,222,306
40,222,297
41,222,286
42,222,277
43,234,306
44,234,297
45,234,286
46,234,277
47,246,306
48,246,297
49,246,286
50,246,277
51,280,314
52,280,305
53,280,293
54,280,285
55,292,314
56,292,305
57,292,293
58,292,285
59,304,314
60,304,305
61,304,293
62,304,285
63,316,314
64,316,305
65,316,293
66,316,285
67,328,314
68,328,305
69,328,293
70,328,285
71,340,314
72,340,305
73,340,293
74,340,285
75,352,314
76,352,305
77,352,293
78,352,285
79,364,314
80,364,305
81,364,293
82,364,285
83,376,314
84,376,305
85,376,293
86,376,285
87,388,314
88,388,305
89,388,293
90,388,285
91,400,314
92,400,305
93,400,293
94,400,285
95,412,314
96,412,305
97,412,293
98,412,285
99,422,293
100,422,285
//»Æ½ðÊ¥µî101-200Ãû
101,415,350
102,424,350
103,435,350
104,444,350
105,415,361
106,424,361
107,435,361
108,444,361
109,415,372
110,424,372
111,435,372
112,444,372
113,415,383
114,424,383
115,435,383
116,444,383
117,415,394
118,424,394
119,435,394
120,444,394
121,417,406
122,425,406
123,435,406
124,443,406
125,417,417
126,425,417
127,435,417
128,443,417
129,417,427
130,425,427
131,435,427
132,443,428
133,417,438
134,425,438
135,435,438
136,443,439
137,417,449
138,425,449
139,435,449
140,443,450
141,417,460
142,425,460
143,435,460
144,443,461
145,417,471
146,425,471
147,435,471
148,443,472
149,417,482
150,425,482
151,435,482
152,443,483
153,417,493
154,425,493
155,435,493
156,443,494
157,417,504
158,425,504
159,435,504
160,443,505
161,417,515
162,425,515
163,435,515
164,443,516
165,417,526
166,425,526
167,435,526
168,443,527
169,417,537
170,425,537
171,435,537
172,443,538
173,417,548
174,425,548
175,435,548
176,443,549
177,417,559
178,425,559
179,435,559
180,443,560
181,417,570
182,425,570
183,435,570
184,443,571
185,417,581
186,425,581
187,435,581
188,443,582
189,417,592
190,425,592
191,435,592
192,443,593
193,417,603
194,425,603
195,435,603
196,443,604
197,417,614
198,425,614
199,435,614
200,443,615
//°×ÒøÊ¥µî-200-400
201,488,638
202,488,631
203,488,620
204,488,613
205,499,638
206,499,631
207,499,620
208,499,613
209,510,638
210,510,631
211,510,620
212,510,613
213,521,638
214,521,631
215,521,620
216,521,613
217,532,638
218,532,631
219,532,620
220,532,613
221,543,638
222,543,631
223,543,620
224,543,613
225,554,638
226,554,631
227,554,620
228,554,613
229,565,638
230,565,631
231,565,620
232,565,613
233,576,638
234,576,631
235,576,620
236,576,613
237,587,638
238,587,631
239,587,620
240,587,613
241,598,638
242,598,631
243,598,620
244,598,613
245,609,638
246,609,631
247,609,620
248,609,613
249,620,638
250,620,631
251,620,620
252,620,613
253,631,638
254,631,631
255,631,620
256,631,613
257,642,638
258,642,631
259,642,620
260,642,613
261,653,638
262,653,631
263,653,620
264,653,613
265,664,638
266,664,631
267,664,620
268,664,613
269,675,638
270,675,631
271,676,620
272,675,613
273,687,638
274,687,631
275,687,620
276,687,613
277,699,638
278,699,631
279,699,620
280,699,613
281,711,638
282,711,631
283,711,620
284,711,613
285,723,638
286,723,631
287,723,620
288,723,613
289,735,638
290,735,631
291,735,620
292,735,613
293,747,638
294,747,631
295,747,620
296,747,613
297,763,640
298,763,632
299,759,620
300,759,613
301,752,676
302,760,676
303,772,676
304,780,676
305,752,687
306,760,687
307,772,687
308,780,687
309,752,698
310,760,698
311,772,698
312,780,698
313,752,709
314,760,709
315,772,709
316,780,709
317,752,720
318,760,720
319,772,720
320,780,720
321,752,731
322,760,731
323,772,731
324,780,731
325,752,742
326,760,742
327,772,742
328,780,742
329,752,753
330,760,753
331,772,753
332,780,753
333,752,764
334,760,764
335,772,764
336,780,764
337,752,775
338,760,775
339,772,775
340,780,775
341,752,786
342,760,786
343,772,786
344,780,786
345,752,797
346,760,797
347,772,797
348,780,797
349,752,808
350,760,808
351,772,808
352,780,808
353,752,819
354,760,819
355,772,819
356,780,819
357,752,830
358,760,830
359,772,830
360,780,830
361,752,841
362,760,841
363,772,841
364,780,841
365,752,852
366,760,852
367,772,852
368,780,852
369,752,863
370,760,863
371,772,863
372,780,863
373,752,874
374,760,874
375,772,874
376,780,874
377,752,885
378,760,885
379,772,885
380,780,885
381,752,896
382,760,896
383,772,896
384,780,896
385,752,907
386,760,907
387,772,907
388,780,907
389,752,918
390,760,918
391,772,918
392,780,918
393,752,930
394,760,930
395,772,930
396,780,930
397,752,942
398,760,942
399,772,942
400,780,942

//À¶¾§Ê¥µî,401-600
401,825,966
402,825,959
403,825,948
404,825,941
405,836,966
406,836,959
407,836,948
408,836,941
409,847,966
410,847,959
411,847,948
412,847,941
413,858,966
414,858,959
415,858,948
416,858,941
417,869,966
418,869,959
419,869,948
420,869,941
421,880,966
422,880,959
423,880,948
424,880,941
425,891,966
426,891,959
427,891,948
428,891,941
429,902,966
430,902,959
431,902,948
432,902,941
433,913,966
434,913,959
435,913,948
436,913,941
437,924,966
438,924,959
439,924,948
440,924,941
441,935,966
442,935,959
443,935,948
444,935,941
445,946,966
446,946,959
447,946,948
448,946,941
449,957,966
450,957,959
451,957,948
452,957,941
453,968,966
454,968,959
455,968,948
456,968,941
457,979,966
458,979,959
459,979,948
460,979,941
461,990,966
462,990,959
463,990,948
464,990,941
465,1001,966
466,1001,959
467,1001,948
468,1001,941
