//µÀ¾ßID,µÀ¾ßÃû³Æ,ËùÐèÖ°Òµ,ËùÐèµÈ¼¶,ËùÐèÐÔ±ð,×îÐ¡ÎïÀí¹¥»÷,×î´óÎïÀí¹¥»÷,·ÀÓù,Ä§·¨·ÀÓù,×îÐ¡Ä§·¨¹¥»÷,×î´óÄ§·¨¹¥»÷,¶ã±Ü,×¼È·,µ±Ç°µþ¼ÓÊýÁ¿,×î´óµþ¼ÓÊýÁ¿,½Å±¾id,¼Û¸ñ,»ÃÊÞµ°¶ÔÓ¦id,ËµÃ÷
#id,name,req_profession,req_level,req_sex,attack_min,attack_max,defense,magic_defense,magic_attack_min,magic_attck_max,dodge,hitrate,amount,amount_limit,actionid,price,monster_type,info
111000,À¶É«Éîåä,20,25,0,0,0,84,53,0,0,0,0,10000,10000,0,0,0,´ó¶ÍÔìÊ¦Ã×¶ûµÂÄáµÄÐÄÑªÇã×¢Ö®×÷£¬ÄÇÖÖ·Â·ðÔÌ²ØÁËÎÞÊýÐþ»úµÄÌìÀ¶É«µ÷ÏÔµÃÉîåäÇÒº¬Ðî£¬ÈÃÎÞÊýÈËÎªÖ®×ÅÃÔ¡£
111001,À¶É«Éîåä,20,25,0,0,0,89,56,0,0,0,0,10000,10000,0,0,0,111000
111002,À¶É«Éîåä,20,25,0,0,0,97,61,0,0,0,0,10000,10000,0,0,0,111000
111003,À¶É«Éîåä,20,25,0,0,0,110,69,0,0,0,0,10000,10000,0,0,0,111000
111004,À¶É«Éîåä,20,25,0,0,0,126,92,0,0,0,0,10000,10000,0,0,0,111000
111005,À¶É«Éîåä,20,25,0,0,0,134,84,0,0,0,0,10000,10000,0,0,0,111000
111006,À¶É«Éîåä,20,25,0,0,0,151,95,0,0,0,0,10000,10000,0,0,0,111000
111007,À¶É«Éîåä,20,25,0,0,0,168,106,0,0,0,0,10000,10000,0,0,0,111000
111010,Á÷¹â·ÉÒí,20,30,0,0,0,104,65,0,0,0,0,10000,10000,0,0,0,¼ò½é
111011,Á÷¹â·ÉÒí,20,30,0,0,0,110,69,0,0,0,0,10000,10000,0,0,0,¼ò½é
111012,Á÷¹â·ÉÒí,20,30,0,0,0,120,75,0,0,0,0,10000,10000,0,0,0,¼ò½é
111013,Á÷¹â·ÉÒí,20,30,0,0,0,136,85,0,0,0,0,10000,10000,0,0,0,¼ò½é
111014,Á÷¹â·ÉÒí,20,30,0,0,0,156,113,0,0,0,0,10000,10000,0,0,0,¼ò½é
111015,Á÷¹â·ÉÒí,20,30,0,0,0,166,104,0,0,0,0,10000,10000,0,0,0,¼ò½é
111016,Á÷¹â·ÉÒí,20,30,0,0,0,187,117,0,0,0,0,10000,10000,0,0,0,¼ò½é
111017,Á÷¹â·ÉÒí,20,30,0,0,0,208,130,0,0,0,0,10000,10000,0,0,0,¼ò½é
111020,°²´ÌÇá¸Ö,20,40,0,0,0,133,84,0,0,0,0,10000,10000,0,0,0,¼ò½é
111021,°²´ÌÇá¸Ö,20,40,0,0,0,140,89,0,0,0,0,10000,10000,0,0,0,¼ò½é
111022,°²´ÌÇá¸Ö,20,40,0,0,0,153,97,0,0,0,0,10000,10000,0,0,0,¼ò½é
111023,°²´ÌÇá¸Ö,20,40,0,0,0,173,110,0,0,0,0,10000,10000,0,0,0,¼ò½é
111024,°²´ÌÇá¸Ö,20,40,0,0,0,200,146,0,0,0,0,10000,10000,0,0,0,¼ò½é
111025,°²´ÌÇá¸Ö,20,40,0,0,0,212,134,0,0,0,0,10000,10000,0,0,0,¼ò½é
111026,°²´ÌÇá¸Ö,20,40,0,0,0,239,151,0,0,0,0,10000,10000,0,0,0,¼ò½é
111027,°²´ÌÇá¸Ö,20,40,0,0,0,266,168,0,0,0,0,10000,10000,0,0,0,¼ò½é
111030,Ú¤ºç¾µÃ¢,20,45,0,0,0,150,95,0,0,0,0,10000,10000,0,0,0,¼ò½é
111031,Ú¤ºç¾µÃ¢,20,45,0,0,0,158,100,0,0,0,0,10000,10000,0,0,0,¼ò½é
111032,Ú¤ºç¾µÃ¢,20,45,0,0,0,173,110,0,0,0,0,10000,10000,0,0,0,¼ò½é
111033,Ú¤ºç¾µÃ¢,20,45,0,0,0,195,124,0,0,0,0,10000,10000,0,0,0,¼ò½é
111034,Ú¤ºç¾µÃ¢,20,45,0,0,0,225,165,0,0,0,0,10000,10000,0,0,0,¼ò½é
111035,Ú¤ºç¾µÃ¢,20,45,0,0,0,240,152,0,0,0,0,10000,10000,0,0,0,¼ò½é
111036,Ú¤ºç¾µÃ¢,20,45,0,0,0,270,171,0,0,0,0,10000,10000,0,0,0,¼ò½é
111037,Ú¤ºç¾µÃ¢,20,45,0,0,0,300,190,0,0,0,0,10000,10000,0,0,0,¼ò½é
111040,ÁúÒíÊ¥ºÛ,20,50,0,0,0,170,107,0,0,0,0,10000,10000,0,0,0,¼ò½é
111041,ÁúÒíÊ¥ºÛ,20,50,0,0,0,179,113,0,0,0,0,10000,10000,0,0,0,¼ò½é
111042,ÁúÒíÊ¥ºÛ,20,50,0,0,0,196,124,0,0,0,0,10000,10000,0,0,0,¼ò½é
111043,ÁúÒíÊ¥ºÛ,20,50,0,0,0,221,140,0,0,0,0,10000,10000,0,0,0,¼ò½é
111044,ÁúÒíÊ¥ºÛ,20,50,0,0,0,255,186,0,0,0,0,10000,10000,0,0,0,¼ò½é
111045,ÁúÒíÊ¥ºÛ,20,50,0,0,0,272,171,0,0,0,0,10000,10000,0,0,0,¼ò½é
111046,ÁúÒíÊ¥ºÛ,20,50,0,0,0,306,192,0,0,0,0,10000,10000,0,0,0,¼ò½é
