#type,level,exp
0,0001,864
0,0002,2028
0,0003,3525
0,0004,3653
0,0005,8611
0,0006,8746
0,0007,15932
0,0008,27791
0,0009,20256
0,0010,44618
0,0011,93142
0,0012,79948
0,0013,137264
0,0014,92786
0,0015,190182
0,0016,309438
0,0017,452143
0,0018,396340
0,0019,592602
0,0020,419035
0,0021,694422
0,0022,1004757
0,0023,1351631
0,0024,934381
0,0025,1466368
0,0026,2047638
0,0027,2679780
0,0028,3364384
0,0029,2267703
0,0030,3033969
0,0031,4924794
0,0032,3227063
0,0033,4047173
0,0034,3529850
0,0035,5288639
0,0036,7334967
0,0037,4851533
0,0038,7112899
0,0039,9419192
0,0040,6134551
0,0041,5269065
0,0042,7974532
0,0043,10747391
0,0044,13587642
0,0045,9248398
0,0046,16064158
0,0047,23302845
0,0048,30973013
0,0049,39083218
0,0050,26536244
0,0051,45488186
0,0052,53291768
0,0053,35004089
0,0054,45092470
0,0055,39455911
0,0056,52348317
0,0057,34517284
0,0058,50681409
0,0059,68048027
0,0060,38378110
0,0061,60282705
0,0062,83629018
0,0063,108440333
0,0064,84572525
0,0065,119827856
0,0066,100489100
0,0067,140885752
0,0068,90996785
0,0069,138020582
0,0070,190745198
0,0071,121306860
0,0072,172669260
0,0073,157811320
0,0074,345713650
0,0075,450000000
0,0076,700000000
0,0077,850000000
0,0078,991382240
0,0079,1180000000
0,0080,1347906660
0,0081,1700000000
0,0082,2107894160
0,0083,2500000000
0,0084,2105167680
0,0085,3398074280
0,0086,4000000000
0,0087,2972431110
0,0088,4348284200
0,0089,3627660030
0,0090,5069335260
0,0091,6599609240
0,0092,4753804200
0,0093,7482640060
0,0094,10501744070
0,0095,10501744070
0,0096,10501744070
0,0097,10501744070
0,0098,10501744070
0,0099,10501744070
0,0100,15752616110
0,0101,15752616110
0,0102,15752616110
0,0103,15752616110
0,0104,15752616110
0,0105,15752616110
0,0106,15752616110
0,0107,15752616110
0,0108,15752616110
0,0109,15752616110
0,0110,15752616110
0,0111,21003488140
0,0112,21003488140
0,0113,21003488140
0,0114,21003488140
0,0115,21003488140
0,0116,21003488140
0,0117,21003488140
0,0118,21003488140
0,0119,21003488140
0,0120,21003488140
0,0121,21000000000
0,0122,21000000000
0,0123,21000000000
1,0001,5
1,0002,10
1,0003,50
1,0004,100
1,0005,500
1,0006,2186
1,0007,3983
1,0008,6948
1,0009,5064
1,0010,11154
1,0011,23285
1,0012,19987
1,0013,34316
1,0014,23196
1,0015,47545
1,0016,77359
1,0017,113036
1,0018,99085
1,0019,148150
1,0020,104759
1,0021,173605
1,0022,251189
1,0023,337908
1,0024,233595
1,0025,366592
1,0026,511909
1,0027,669945
1,0028,841096
1,0029,566926
1,0030,758492
1,0031,1231198
1,0032,806766
1,0033,1011793
1,0034,882462
1,0035,1322160
1,0036,1833742
1,0037,1212883
1,0038,1778225
1,0039,2354798
1,0040,1533638
1,0041,1317266
1,0042,1993633
