//npc头像文件-
//道具id,头像名称,头像id,价格[金币]
#itemid,name,lookfaceid,price
735028,影月之仆,180001,980000
735029,金发银冠,190001,980000
735030,睥睨魔眼,200001,980000
735031,深蓝幻想,210001,980000
735032,豪迈赤纹,220001,980000
735034,精灵战士,240001,980000
735035,骁勇善战,250001,980000
735036,蓝色魅影,260001,980000
735037,纹章骑士,270001,980000
735038,丛林之子,280001,980000
735039,荆冠王者,290001,980000
735040,守望旷野,300001,980000
735041,北域狼族,310001,980000
735053,风雅贵族,430001,980000
735033,吟游诗人,230001,680000
735042,铁甲长锋,320001,680000
735043,孤独守望,330001,680000
735044,金色阳光,340001,680000
735045,黑暗星辰,350001,680000
735046,粗犷豪爽,360001,680000
735047,身经百战,370001,680000
735048,魔力幻影,380001,680000
735049,冰蓝纹章,390001,680000
735050,端方正直,400001,680000
735051,傲视繁星,410001,680000
735052,黑暗之影,420001,680000
735054,魅惑高手,440001,680000
735055,蛮荒术士,450001,680000
735056,玩世不恭,460001,680000
730001,潇洒倜傥,1,680000
730002,盖世枭雄,160001,680000
730003,忠心耿耿,20001,680000
730004,顶天立地,30001,680000
730005,孔武果敢,40001,680000
730006,聪睿豁达,50001,680000
730007,疾恶如仇,60001,680000
730008,坚忍不拔,70001,680000
730009,历经沧桑,80001,680000
730019,俊秀少年,90001,680000
730020,正气凛然,100001,680000
730021,毅然决绝,110001,680000
730022,年少得志,120001,680000
730023,气宇轩昂,130001,680000
730024,英姿焕发,140001,680000
730025,旷远飘逸,150001,680000
730026,温文而雅,160001,680000
730027,光明磊落,170001,680000
730118,漠世魔瞳,510001,980000
730100,雪域英豪,520001,980000
730101,名贵公子,530001,980000
730102,俊逸超然,540001,980000
730103,风采飞扬,550001,980000

//女
735000,异界浪漫,180002,980000
735001,紫魅蝶影,190002,980000
735002,冷甲美人,200002,980000
735004,顾盼生辉,220002,980000
735005,冷若冰霜,230002,980000
735006,清纯脱俗,240002,980000
735008,眉目如画,260002,980000
735024,明艳照人,420002,980000
735025,阳光花瓣,430002,980000
735027,冷霜蔷薇,450002,980000
735003,若有所思,210002,680000
735007,妩媚丽影,250002,680000
735009,秀色伊人,270002,680000
735010,荒野浪漫,280002,680000
735011,魔幻公主,290002,680000
735012,英气勃勃,300002,680000
735013,秀丽典雅,310002,680000
735014,精灵幻想,320002,680000
735015,幻舞迷影,330002,680000
735016,火热激情,340002,680000
735017,玉貌花颜,350002,680000
735018,含情脉脉,360002,680000
735019,灵动娇俏,370002,680000
735020,芬芳夜莲,380002,680000
735021,温柔体贴,390002,680000
735022,端庄典雅,400002,680000
735026,翼盔夜瞳,440002,680000
735023,流光溢彩,410002,680000
730028,国色天香,90002,680000
730029,澈目流光,100002,680000
730030,楚楚婀娜,110002,680000
730031,端庄素雅,120002,680000
730032,巾帼英雄,130002,680000
730033,艳若桃李,140002,680000
730034,超然出尘,150002,680000
730035,兰质蕙心,160002,680000
730036,温柔可人,170002,680000
730010,英姿飒爽,2,680000
730011,软玉温香,10002,680000
730012,妖艳妩媚,20002,680000
730013,美倾万城,30002,680000
730014,亭亭玉立,40002,680000
730015,天生丽质,50002,680000
730016,冰清玉洁,60002,680000
730017,明眸皓齿,70002,680000
730018,秀外慧中,80002,680000
730119,萤月流颜,510002,980000
730104,浅笑兰芳,520002,980000
730105,夜语玫瑰,530002,980000
730106,巧笑嫣然,540002,980000
730107,千世佳人,550002,980000
