//NPC商店配置文件
//NPCID,物品id,价格
#npcid,itemid,price
//卡诺萨城,阿德兰修- 药剂店
1057,1010100,15
1057,1010110,30
1057,1010120,60
1057,1010130,120
1057,1010140,250
1057,1010150,400
1057,1010160,600
1057,1010170,900
1057,1010180,1200
1057,1010190,1600
1057,1010200,2000
1057,1010300,300
1057,1010310,480
1057,1010320,750
1057,1010330,1200
1057,1010340,1500
1057,1011000,100
1057,1011010,800
1057,1011020,2000
1057,1011030,3500
1057,1011040,5000
1057,1011100,50
1057,1011110,100
1057,1011120,200
1057,1011130,300
1057,1011140,400
1057,1011150,600
1057,1011160,720
1057,1011170,840
1057,1011180,980
1057,1011190,1080
1057,1011200,1500
//卡诺萨城帕迪克- 武器商
1054,410000,50
1054,410010,605
1054,410020,801
1054,420000,50
1054,420010,605
1054,420020,801
1054,440000,50
1054,440010,605
1054,440020,801
1054,490000,50
1054,490010,605
1054,490020,801
1054,450000,50
1054,450010,605
1054,450020,801
1054,430000,50
1054,430010,605
1054,430020,801
1054,480000,50
1054,480010,605
1054,480020,801
//卡诺萨城卡兰西尔 --装备商
1056,111300,200
1056,111350,362
1056,115300,200
1056,115350,362
1056,131300,358
1056,131000,1254
1056,135000,358
1056,135300,1254
1056,161300,297
1056,161350,679
1056,165300,297
1056,165350,679
1056,113300,200
1056,113350,362
1056,133300,358
1056,163350,679
1056,163300,297
1056,133007,1254
1056,167300,297
1056,167350,679
1056,117300,200
1056,117350,362
1056,137300,358
1056,137000,1254
1056,169300,297
1056,169350,679
1056,119300,200
1056,119350,362
1056,139300,358
1056,139000,1254
1056,162300,297
1056,162350,679
1056,132300,200
1056,112350,362
1056,132300,358
1056,132000,1254

//卡诺萨城 杂货商 克莱德
1055,1020010,500
1055,1020020,1699

//卡诺萨城 首饰店 法露西
1030,121300,215
1030,121350,380
1030,125300,215
1030,125350,380
1030,141300,237
1030,141350,398
1030,145300,237
1030,145350,398
1030,123300,215
1030,123350,380
1030,143300,237
1030,133350,398
1030,127300,215
1030,127350,380
1030,147300,237
1030,147350,398
1030,129300,215
1030,129350,380
1030,149300,237
1030,149350,398
1030,122300,215
1030,122350,380
1030,142300,237
1030,142350,398

//树心城  首饰商
2001,121400,679
2001,121000,1509
2001,121010,2603
2001,125400,679
2001,125000,1509
2001,125010,2603
2001,141400,679
2001,141000,1509
2001,141010,2603
2001,145400,679
2001,145000,1509
2001,145010,2603
2001,123400,679
2001,123000,1509
2001,123010,2603
2001,143400,679
2001,143000,1509
2001,143010,2603
2001,127400,679
2001,127000,1509
2001,127010,2603
2001,147400,679
2001,147000,1509
2001,140010,2603
2001,129400,679
2001,129000,1509
2001,129010,2603
2001,149400,679
2001,149000,1509
2001,149010,2603
2001,122400,679
2001,122000,1509
2001,122010,2603
2001,142400,679
2001,142000,1509
2001,142010,2603

//树心城  武器店  迪特
2003,410040,1960
2003,410050,2903
2003,420040,1960
2003,420050,2903
2003,440040,1960
2003,440050,2903
2003,490040,1960
2003,490050,2903
2003,450040,1960
2003,450050,2903
2003,430040,1960
2003,430050,2903
2003,480040,1960
2003,480050,2903

//树心城 装备 哈姆
2005,111000,1509
2005,111010,1860
2005,115000,1509
2005,115010,1860
2005,131010,2903
2005,131020,7619
2005,135020,7619
2005,113000,1509
2005,113010,1860
2005,133010,2903
2005,117000,1509
2005,117010,1860
2005,137010,2903
2005,137020,7619
2005,119000,1509
2005,119010,1860
2005,139010,2903
2005,139020,7619
2005,112000,1509
2005,112010,1860
2005,132010,2903
2005,132020,7619



//戈壁武器商 佩吉
3008,410070,7923
3008,410080,9717
3008,410090,15963
3008,410100,19737
3008,420070,7923
3008,420080,9717
3008,420090,15963
3008,420100,19737
3008,440070,7923
3008,440080,9717
3008,440090,15963
3008,440100,19737
3008,490070,7923
3008,490080,9717
3008,490090,15963
3008,490100,19737
3008,450070,7923
3008,450080,9717
3008,450090,15963
3008,450100,19737
3008,430070,7923
3008,430080,9717
3008,430090,15963
3008,430100,19737
3008,480070,7923
3008,480080,9717
3008,480090,15963
3008,480100,19737



//戈壁 恩多 铁匠
3006,111020,4890
3006,111030,8301
3006,111040,9896
3006,131020,7619
3006,131030,15963
3006,131040,24812
3006,161020,6319
3006,161030,8775
3006,115020,4890
3006,115030,8301
3006,115040,9896
3006,135020,7619
3006,135030,15963
3006,135040,24812
3006,165020,6319
3006,165030,8775
3006,113020,4890
3006,113030,8301
3006,113040,9896
3006,133020,7619
3006,133030,15963
3006,133040,24812
3006,163020,6319
3006,163030,8775
3006,167020,6319
3006,167030,8775
3006,117020,4890
3006,117030,8301
3006,117040,9896
3006,137020,7617
3006,137030,15963
3006,137040,24812
3006,169020,6319
3006,169030,8775
3006,119020,4890
3006,119030,8301
3006,119040,9896
3006,139020,7619
3006,139030,15963
3006,139040,24812
3006,162020,6319
3006,162030,8775
3006,112020,4890
3006,112030,8301
3006,112040,9896
3006,132020,7619
3006,132030,15963
3006,132040,24812



//戈壁首饰店，米勒琪
3024,121020,4595
3024,121030,8301
3024,121040,11362
3024,141020,6517
3024,141030,9012
3024,141040,10996
3024,125020,4595
3024,125030,8301
3024,125040,11362
3024,145020,6517
3024,145030,9012
3024,145040,10996
3024,123020,4595
3024,123030,8301
3024,123040,11362
3024,143020,6517
3024,143030,9012
3024,143040,10996
3024,127020,4595
3024,127030,8301
3024,127040,11362
3024,147020,6517
3024,147030,9012
3024,147040,10996
3024,129020,4595
3024,129030,8301
3024,129040,11362
3024,149020,6517
3024,149030,9012
3024,149040,10996
3024,122020,4595
3024,122030,8301
3024,122040,11362
3024,142020,6517
3024,142030,9012
3024,142040,10996



//迷梦沼泽 伊格罗斯 武器商
5021,410110,9717
5021,410120,15963
5021,410130,19737
5021,420110,9717
5021,420120,15963
5021,420130,19737
5021,440110,25587
5021,440120,40539
5021,440130,48795
5021,490110,25587
5021,490120,40539
5021,490130,48795
5021,450110,25587
5021,450120,40539
5021,450130,48795
5021,430110,25587
5021,430120,40539
5021,430130,48795
5021,480110,25587
5021,480120,40539
5021,480130,48795


//迷梦沼泽 装备商 奥利维亚
5022,111040,21080
5022,111050,24783
5022,131040,24812
5022,131050,40539
5022,131060,55702
5022,161040,13708
5022,161050,23359
5022,115040,21080
5022,115050,24783
5022,135040,24812
5022,135050,40539
5022,135060,55702
5022,165040,13708
5022,165050,23359
5022,113040,21080
5022,113050,24783
